time[s]	u[ft/s]	v[ft/s]	w[ft/s]	p[rad/s]	q[rad/s]	r[rad/s]	xf[ft]	yf[ft]	zf[ft]	e0	ex	ey	ez
4.2000000000E-01	2.7876561213E+01	0.0000000000E+00	1.0481188266E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.5520845631E+01	0.0000000000E+00	-1.9763779191E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.3000000000E-01	2.7568902774E+01	0.0000000000E+00	1.0685470838E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.5798068337E+01	0.0000000000E+00	-1.9753195740E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.4000000000E-01	2.7266690828E+01	0.0000000000E+00	1.0888305760E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.6072241841E+01	0.0000000000E+00	-1.9742408732E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.5000000000E-01	2.6969748521E+01	0.0000000000E+00	1.1089710106E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.6343419718E+01	0.0000000000E+00	-1.9731419606E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.6000000000E-01	2.6677906254E+01	0.0000000000E+00	1.1289699591E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.6611653810E+01	0.0000000000E+00	-1.9720229784E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.7000000000E-01	2.6391001344E+01	0.0000000000E+00	1.1488288650E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.6876994299E+01	0.0000000000E+00	-1.9708840673E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.8000000000E-01	2.6108877701E+01	0.0000000000E+00	1.1685490506E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.7139489773E+01	0.0000000000E+00	-1.9697253669E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.9000000000E-01	2.5831385533E+01	0.0000000000E+00	1.1881317234E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.7399187291E+01	0.0000000000E+00	-1.9685470151E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.0000000000E-01	2.5558381052E+01	0.0000000000E+00	1.2075779829E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.7656132442E+01	0.0000000000E+00	-1.9673491489E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.1000000000E-01	2.5289726213E+01	0.0000000000E+00	1.2268888265E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.7910369410E+01	0.0000000000E+00	-1.9661319042E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.2000000000E-01	2.5025288456E+01	0.0000000000E+00	1.2460651553E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.8161941023E+01	0.0000000000E+00	-1.9648954161E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.3000000000E-01	2.4764940464E+01	0.0000000000E+00	1.2651077799E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.8410888811E+01	0.0000000000E+00	-1.9636398185E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.4000000000E-01	2.4508559938E+01	0.0000000000E+00	1.2840174255E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.8657253056E+01	0.0000000000E+00	-1.9623652448E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.5000000000E-01	2.4256029380E+01	0.0000000000E+00	1.3027947377E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.8901072842E+01	0.0000000000E+00	-1.9610718278E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.6000000000E-01	2.4007235887E+01	0.0000000000E+00	1.3214402868E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.9142386100E+01	0.0000000000E+00	-1.9597596993E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.7000000000E-01	2.3762070957E+01	0.0000000000E+00	1.3399545732E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.9381229654E+01	0.0000000000E+00	-1.9584289909E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.8000000000E-01	2.3520430307E+01	0.0000000000E+00	1.3583380314E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.9617639266E+01	0.0000000000E+00	-1.9570798337E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.9000000000E-01	2.3282213693E+01	0.0000000000E+00	1.3765910353E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.9851649673E+01	0.0000000000E+00	-1.9557123584E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.0000000000E-01	2.3047324750E+01	0.0000000000E+00	1.3947139017E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.0083294631E+01	0.0000000000E+00	-1.9543266951E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.1000000000E-01	2.2815670826E+01	0.0000000000E+00	1.4127068948E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.0312606951E+01	0.0000000000E+00	-1.9529229738E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.2000000000E-01	2.2587162835E+01	0.0000000000E+00	1.4305702304E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.0539618534E+01	0.0000000000E+00	-1.9515013245E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.3000000000E-01	2.2361715112E+01	0.0000000000E+00	1.4483040791E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.0764360408E+01	0.0000000000E+00	-1.9500618765E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.4000000000E-01	2.2139245276E+01	0.0000000000E+00	1.4659085706E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.0986862762E+01	0.0000000000E+00	-1.9486047594E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.5000000000E-01	2.1919674098E+01	0.0000000000E+00	1.4833837972E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.1207154975E+01	0.0000000000E+00	-1.9471301025E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.6000000000E-01	2.1702925377E+01	0.0000000000E+00	1.5007298168E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.1425265651E+01	0.0000000000E+00	-1.9456380349E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.7000000000E-01	2.1488925819E+01	0.0000000000E+00	1.5179466564E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.1641222646E+01	0.0000000000E+00	-1.9441286859E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.8000000000E-01	2.1277604925E+01	0.0000000000E+00	1.5350343157E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.1855053096E+01	0.0000000000E+00	-1.9426021847E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.9000000000E-01	2.1068894877E+01	0.0000000000E+00	1.5519927695E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.2066783447E+01	0.0000000000E+00	-1.9410586604E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.0000000000E-01	2.0862730439E+01	0.0000000000E+00	1.5688219709E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.2276439479E+01	0.0000000000E+00	-1.9394982422E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.1000000000E-01	2.0659048851E+01	0.0000000000E+00	1.5855218541E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.2484046332E+01	0.0000000000E+00	-1.9379210595E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.2000000000E-01	2.0457789738E+01	0.0000000000E+00	1.6020923373E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.2689628530E+01	0.0000000000E+00	-1.9363272416E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.3000000000E-01	2.0258895012E+01	0.0000000000E+00	1.6185333248E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.2893210007E+01	0.0000000000E+00	-1.9347169180E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.4000000000E-01	2.0062308788E+01	0.0000000000E+00	1.6348447099E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.3094814125E+01	0.0000000000E+00	-1.9330902182E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.5000000000E-01	1.9867977299E+01	0.0000000000E+00	1.6510263771E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.3294463699E+01	0.0000000000E+00	-1.9314472718E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.6000000000E-01	1.9675848811E+01	0.0000000000E+00	1.6670782043E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.3492181014E+01	0.0000000000E+00	-1.9297882087E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.7000000000E-01	1.9485873546E+01	0.0000000000E+00	1.6830000651E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.3687987852E+01	0.0000000000E+00	-1.9281131587E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.8000000000E-01	1.9298003608E+01	0.0000000000E+00	1.6987918306E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.3881905503E+01	0.0000000000E+00	-1.9264222519E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.9000000000E-01	1.9112192908E+01	0.0000000000E+00	1.7144533717E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.4073954788E+01	0.0000000000E+00	-1.9247156185E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
8.0000000000E-01	1.8928397098E+01	0.0000000000E+00	1.7299845607E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.4264156077E+01	0.0000000000E+00	-1.9229933887E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
8.1000000000E-01	1.8746573500E+01	0.0000000000E+00	1.7453852730E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.4452529304E+01	0.0000000000E+00	-1.9212556929E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
8.2000000000E-01	1.8566681041E+01	0.0000000000E+00	1.7606553890E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.4639093984E+01	0.0000000000E+00	-1.9195026616E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
8.3000000000E-01	1.8388680196E+01	0.0000000000E+00	1.7757947956E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.4823869230E+01	0.0000000000E+00	-1.9177344256E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
8.4000000000E-01	1.8212532922E+01	0.0000000000E+00	1.7908033875E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.5006873766E+01	0.0000000000E+00	-1.9159511157E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
8.5000000000E-01	1.8038202604E+01	0.0000000000E+00	1.8056810688E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.5188125944E+01	0.0000000000E+00	-1.9141528625E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
8.6000000000E-01	1.7865653997E+01	0.0000000000E+00	1.8204277543E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.5367643757E+01	0.0000000000E+00	-1.9123397972E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
8.7000000000E-01	1.7694853175E+01	0.0000000000E+00	1.8350433706E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.5545444850E+01	0.0000000000E+00	-1.9105120507E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
