         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.2300000000000E+00   0.3263081094572E+03  -0.3404584898694E+01   0.3572873290210E+02   0.1241629897675E-01   0.1828042438409E-03  -0.5296237924949E-02   0.7305712409312E+02   0.5184827601719E+01  -0.1019085724567E+04  -0.2586191359644E+00   0.9631683986869E+00  -0.1885161068101E-01  -0.7118563800799E-01
   0.2400000000000E+00   0.3262969708604E+03  -0.3534446120004E+01   0.3522611842945E+02   0.1338690385221E-01   0.5337325243331E-03  -0.5743944636406E-02   0.7624211725404E+02   0.5394294710750E+01  -0.1019851456574E+04  -0.2586831878298E+00   0.9631523630575E+00  -0.1883008510525E-01  -0.7117557000805E-01
   0.2500000000000E+00   0.3262853184710E+03  -0.3662332675960E+01   0.3472815503975E+02   0.1438251350790E-01   0.9085765799767E-03  -0.6207410038106E-02   0.7942774891953E+02   0.5602562678860E+01  -0.1020612115106E+04  -0.2587521011934E+00   0.9631352226564E+00  -0.1880718463285E-01  -0.7116307197356E-01
   0.2600000000000E+00   0.3262731565934E+03  -0.3788202168338E+01   0.3423488235014E+02   0.1540190837283E-01   0.1306799235932E-02  -0.6686315340063E-02   0.8261401042499E+02   0.5809646020283E+01  -0.1021367729790E+04  -0.2588259965648E+00   0.9631169545787E+00  -0.1878287350111E-01  -0.7114800747941E-01
   0.2700000000000E+00   0.3262604900987E+03  -0.3912014018574E+01   0.3374633822614E+02   0.1644388360935E-01   0.1727866996817E-02  -0.7180337916856E-02   0.8580089320867E+02   0.6015559069415E+01  -0.1022118329882E+04  -0.2589049885183E+00   0.9630975371208E+00  -0.1875711638175E-01  -0.7113024319721E-01
   0.2800000000000E+00   0.3262473243998E+03  -0.4033729436419E+01   0.3326255879011E+02   0.1750724926832E-01   0.2171250090268E-02  -0.7689151566103E-02   0.8898838881148E+02   0.6220315981663E+01  -0.1022863944266E+04  -0.2589891857605E+00   0.9630769497554E+00  -0.1872987840901E-01  -0.7110964887996E-01
   0.2900000000000E+00   0.3262336654251E+03  -0.4153311388718E+01   0.3278357843021E+02   0.1859083042987E-01   0.2636422512119E-02  -0.8212426758823E-02   0.9217648887679E+02   0.6423930734321E+01  -0.1023604601457E+04  -0.2590786911989E+00   0.9630551731063E+00  -0.1870112520666E-01  -0.7108609734618E-01
   0.3000000000000E+00   0.3262195195940E+03  -0.4270724568364E+01   0.3230942980997E+02   0.1969346733048E-01   0.3122862073069E-02  -0.8749830881906E-02   0.9536518515025E+02   0.6626417127491E+01  -0.1024340329600E+04  -0.2591736020116E+00   0.9630321889232E+00  -0.1867082291394E-01  -0.7105946446358E-01
   0.3100000000000E+00   0.3262048937915E+03  -0.4385935363462E+01   0.3184014387825E+02   0.2081401547682E-01   0.3630050446706E-02  -0.9301028472911E-02   0.9855446947963E+02   0.6827788785029E+01  -0.1025071156467E+04  -0.2592740097164E+00   0.9630079800569E+00  -0.1863893821042E-01  -0.7102962913204E-01
   0.3200000000000E+00   0.3261897953442E+03  -0.4498911826713E+01   0.3137574987988E+02   0.2195134574722E-01   0.4157473218755E-02  -0.9865681447415E-02   0.1017443338146E+03   0.7028059155525E+01  -0.1025797109459E+04  -0.2593800002426E+00   0.9629825304345E+00  -0.1860543833994E-01  -0.7099647326623E-01
